Wall time;Step;Value
1.689.000.296.573.980;100;0.03199940174818039
168.900.042.908.012;200;0.03733279928565025
1.689.000.562.619.790;300;0.042666200548410416
1.689.000.695.334.360;400;0.04799959808588028
1.689.000.826.730.450;500;0.05333299934864044
1.689.000.959.007.700;600;0.058666400611400604
1.689.001.090.832.920;700;0.06399980187416077
1.689.001.223.497.200;800;0.06933319568634033
168.900.135.571.031;900;0.07466660439968109
1.689.001.488.693.280;1000;0.07999999821186066
1.689.001.620.420.090;1100;0.079999178647995
1.689.001.753.852.000;1200;0.07999670505523682
1.689.001.883.878.000;1300;0.07999259978532791
1.689.002.009.858.670;1400;0.07998684793710709
1.689.002.134.890.320;1500;0.07997944951057434
168.900.226.163.808;1600;0.07997040450572968
1.689.002.387.354.860;1700;0.07995972037315369
1.689.002.512.472.570;1800;0.07994739711284637
1.689.002.639.037.590;1900;0.07993341982364655
1.689.002.767.915.700;2000;0.07991781085729599
